plane.obj
422: x: 0, y: 58, z: 226
423: x: 0, y: 58, z: 227
424: x: 0, y: 58, z: 228
425: x: 0, y: 59, z: 215
426: x: 0, y: 59, z: 216
427: x: 0, y: 59, z: 217
428: x: 0, y: 59, z: 218
429: x: 0, y: 59, z: 219
430: x: 0, y: 59, z: 220
431: x: 0, y: 59, z: 221
432: x: 0, y: 59, z: 222
433: x: 0, y: 59, z: 223
434: x: 0, y: 59, z: 224
435: x: 0, y: 59, z: 225
436: x: 0, y: 59, z: 226
437: x: 0, y: 59, z: 227
438: x: 0, y: 59, z: 228
439: x: 0, y: 60, z: 216
440: x: 0, y: 60, z: 217
441: x: 0, y: 60, z: 218
442: x: 0, y: 60, z: 219
443: x: 0, y: 60, z: 220
444: x: 0, y: 60, z: 221
445: x: 0, y: 60, z: 222
446: x: 0, y: 60, z: 223
447: x: 0, y: 60, z: 224
448: x: 0, y: 60, z: 225
449: x: 0, y: 60, z: 226
450: x: 0, y: 60, z: 227
451: x: 0, y: 60, z: 228
452: x: 0, y: 61, z: 217
453: x: 0, y: 61, z: 218
454: x: 0, y: 61, z: 219
455: x: 0, y: 61, z: 220
456: x: 0, y: 61, z: 221
457: x: 0, y: 61, z: 222
458: x: 0, y: 61, z: 223
459: x: 0, y: 61, z: 224
460: x: 0, y: 61, z: 225
461: x: 0, y: 61, z: 226
462: x: 0, y: 61, z: 227
463: x: 0, y: 61, z: 228
464: x: 0, y: 62, z: 218
465: x: 0, y: 62, z: 219
466: x: 0, y: 62, z: 220
467: x: 0, y: 62, z: 221
468: x: 0, y: 62, z: 222
469: x: 0, y: 62, z: 223
470: x: 0, y: 62, z: 224
471: x: 0, y: 62, z: 225
472: x: 0, y: 62, z: 226
473: x: 0, y: 62, z: 227
474: x: 0, y: 62, z: 228
475: x: 0, y: 63, z: 219
476: x: 0, y: 63, z: 220
477: x: 0, y: 63, z: 221
478: x: 0, y: 63, z: 222
479: x: 0, y: 63, z: 223
480: x: 0, y: 63, z: 224
481: x: 0, y: 63, z: 225
482: x: 0, y: 63, z: 226
483: x: 0, y: 63, z: 227
484: x: 0, y: 63, z: 228
485: x: 0, y: 64, z: 220
486: x: 0, y: 64, z: 221
487: x: 0, y: 64, z: 222
488: x: 0, y: 64, z: 223
489: x: 0, y: 64, z: 224
490: x: 0, y: 64, z: 225
491: x: 0, y: 64, z: 226
492: x: 0, y: 64, z: 227
493: x: 0, y: 64, z: 228
494: x: 0, y: 65, z: 221
495: x: 0, y: 65, z: 222
496: x: 0, y: 65, z: 223
497: x: 0, y: 65, z: 224
498: x: 0, y: 65, z: 225
499: x: 0, y: 65, z: 226
500: x: 0, y: 65, z: 227
501: x: 0, y: 65, z: 228
502: x: 0, y: 66, z: 222
503: x: 0, y: 66, z: 223
504: x: 0, y: 66, z: 224
505: x: 0, y: 66, z: 225
506: x: 0, y: 66, z: 226
507: x: 0, y: 66, z: 227
508: x: 0, y: 66, z: 228
509: x: 0, y: 67, z: 223
510: x: 0, y: 67, z: 224
511: x: 0, y: 67, z: 225
512: x: 0, y: 67, z: 226
513: x: 0, y: 67, z: 227
514: x: 0, y: 67, z: 228
515: x: 0, y: 68, z: 224
516: x: 0, y: 68, z: 225
517: x: 0, y: 68, z: 226
518: x: 0, y: 68, z: 227
519: x: 0, y: 68, z: 228
520: x: 0, y: 69, z: 225
521: x: 0, y: 69, z: 226
522: x: 0, y: 69, z: 227
523: x: 0, y: 69, z: 228
524: x: 0, y: 70, z: 226
525: x: 0, y: 70, z: 227
526: x: 0, y: 70, z: 228
527: x: 0, y: 71, z: 227
528: x: 0, y: 71, z: 228
529: x: 0, y: 72, z: 228
530: x: 0, y: 73, z: 207
531: x: 0, y: 73, z: 208
532: x: 0, y: 73, z: 209
533: x: 0, y: 73, z: 210
534: x: 0, y: 73, z: 211
535: x: 0, y: 73, z: 212
536: x: 0, y: 73, z: 213
537: x: 0, y: 73, z: 214
538: x: 0, y: 73, z: 215
539: x: 0, y: 73, z: 216
540: x: 0, y: 73, z: 217
541: x: 0, y: 73, z: 218
542: x: 0, y: 73, z: 219
543: x: 0, y: 73, z: 220
544: x: 0, y: 73, z: 221
545: x: 0, y: 73, z: 222
546: x: 0, y: 73, z: 223
547: x: 0, y: 73, z: 224
548: x: 0, y: 73, z: 225
549: x: 0, y: 73, z: 226
550: x: 0, y: 73, z: 227
551: x: 0, y: 73, z: 228
552: x: 0, y: 74, z: 208
553: x: 0, y: 74, z: 209
554: x: 0, y: 74, z: 210
555: x: 0, y: 74, z: 211
556: x: 0, y: 74, z: 212
557: x: 0, y: 74, z: 213
558: x: 0, y: 74, z: 214
559: x: 0, y: 74, z: 215
560: x: 0, y: 74, z: 216
561: x: 0, y: 74, z: 217
562: x: 0, y: 74, z: 218
563: x: 0, y: 74, z: 219
564: x: 0, y: 74, z: 220
565: x: 0, y: 74, z: 221
566: x: 0, y: 74, z: 222
567: x: 0, y: 74, z: 223
568: x: 0, y: 74, z: 224
569: x: 0, y: 74, z: 225
570: x: 0, y: 74, z: 226
571: x: 0, y: 74, z: 227
572: x: 0, y: 74, z: 228
573: x: 0, y: 75, z: 209
574: x: 0, y: 75, z: 210
575: x: 0, y: 75, z: 211
576: x: 0, y: 75, z: 212
577: x: 0, y: 75, z: 213
578: x: 0, y: 75, z: 214
579: x: 0, y: 75, z: 215
580: x: 0, y: 75, z: 216
581: x: 0, y: 75, z: 217
582: x: 0, y: 75, z: 218
583: x: 0, y: 75, z: 219
584: x: 0, y: 75, z: 220
585: x: 0, y: 75, z: 221
586: x: 0, y: 75, z: 222
587: x: 0, y: 75, z: 223
588: x: 0, y: 75, z: 224
589: x: 0, y: 75, z: 225
590: x: 0, y: 75, z: 226
591: x: 0, y: 75, z: 227
592: x: 0, y: 75, z: 228
593: x: 0, y: 76, z: 210
594: x: 0, y: 76, z: 211
595: x: 0, y: 76, z: 212
596: x: 0, y: 76, z: 213
597: x: 0, y: 76, z: 214
598: x: 0, y: 76, z: 215
599: x: 0, y: 76, z: 216
600: x: 0, y: 76, z: 217
601: x: 0, y: 76, z: 218
602: x: 0, y: 76, z: 219
603: x: 0, y: 76, z: 220
604: x: 0, y: 76, z: 221
605: x: 0, y: 76, z: 222
606: x: 0, y: 76, z: 223
607: x: 0, y: 76, z: 224
608: x: 0, y: 76, z: 225
609: x: 0, y: 76, z: 226
610: x: 0, y: 76, z: 227
611: x: 0, y: 76, z: 228
612: x: 0, y: 77, z: 211
613: x: 0, y: 77, z: 212
614: x: 0, y: 77, z: 213
615: x: 0, y: 77, z: 214
616: x: 0, y: 77, z: 215
617: x: 0, y: 77, z: 216
618: x: 0, y: 77, z: 217
619: x: 0, y: 77, z: 218
620: x: 0, y: 77, z: 219
621: x: 0, y: 77, z: 220
622: x: 0, y: 77, z: 221
623: x: 0, y: 77, z: 222
